SETID,LOCATION,EFFDT,EFF_STATUS,DESCR
IND,3449,01-01-1902 00:00:00,A,MUMBAI-TCG - BKC_BR
IND,4035,01-01-1901 00:00:00,A,DINDIGUL-NATHAM_BR
IND,6122,01-01-1901 00:00:00,A,MADURAI-VADIPATTI_BR
IND,4382,01-01-1901 00:00:00,A,GULBARGA-NEHRU GUNJ
IND,1898,01-01-1901 00:00:00,A,CHENNAI-EKKATUTHANGAL_BRANCH
IND,4387,01-01-1901 00:00:00,A,BENGALURU-SARJAPURA
IND,7280,01-01-1901 00:00:00,A,BELLARY-APMC ROAD
IND,3432,01-01-1901 00:00:00,A,CHENNAI-SANTHOME HIGH ROAD_BR
IND,7416,01-01-1902 00:00:00,A,SURAT-BSNL TEXTILE MARKET
IND,7506,01-01-1902 00:00:00,A,SURAT-NEW MAGDALLA
IND,4285,01-01-1902 00:00:00,A,SURAT-VIP ROAD_BR
IND,7300,01-01-1902 00:00:00,A,THANE-SIDHANCHAL
IND,4013,01-01-1902 00:00:00,A,VADODARA-POR_BR
IND,3460,01-01-1902 00:00:00,A,PUNE-KARVE NAGAR_BR
IND,3838,01-01-1901 00:00:00,A,RAICHUR-DEVADURGA_BR
IND,7307,01-01-1901 00:00:00,A,COIMBATORE-GANDHIPURAM
IND,4389,01-01-1901 00:00:00,A,HASSAN-K R PURAM
IND,4179,01-01-1901 00:00:00,A,COIMBATORE-GANAPATHY_BR
IND,4335,01-01-1901 00:00:00,A,CHENNAI-G P ROAD_BR
IND,7226,01-01-1901 00:00:00,A,BENGALURU-AECS LAYOUT A BLOCK
IND,3159,01-01-1901 00:00:00,A,MADURAI-ALLIKUNDAM_BR
IND,4208,01-01-1901 00:00:00,A,TIRUPPUR-ASHER NAGAR_BR
IND,3008,01-01-1901 00:00:00,A,THENI-B.RANGANATHPURAM_BR
IND,2899,01-01-1901 00:00:00,A,HASSAN-HK HOSUR_BR
IND,3987,01-01-1901 00:00:00,A,BELGAUM-KAGAWAD_BR
IND,2897,01-01-1901 00:00:00,A,GADAG-KALSAPUR_BR
IND,7232,01-01-1902 00:00:00,A,MUDIGERE-MAIN ROAD MUDIGERE
IND,3990,01-01-1902 00:00:00,A,VADODARA-BHAYLI_BR
IND,3362,01-01-1902 00:00:00,A,PUNE-HADAPSAR_BR
IND,408,01-01-1903 00:00:00,A,NAVI MUMBAI-NERUL-SECTOR 23_BR
IND,1864,01-01-1902 00:00:00,A,CHANDRAPUR-BALLARPUR-P333 _BR
IND,4365,01-01-1902 00:00:00,A,VADODARA-NEW ALKAPURI
IND,3999,01-01-1902 00:00:00,A,JAMNAGAR-JAM JODHPUR_BR
